TimeOccur,GeoX,GeoY,Type
04/06/2022 15:00:00,246495625,95317825,THEFT BY TAKING
04/06/2022 11:20:00,244684375,95255500,THEFT BY TAKING
04/06/2022 08:00:00,246383350,95745856,BURGLARY
04/05/2022 16:34:00,245894850,96074750,BURGLARY
04/05/2022 12:00:00,246477775,94496594,THEFT BY TAKING
04/05/2022 09:30:00,245963425,96314956,THEFT OF MOTOR
04/04/2022 18:30:59,2454871.25,953615.75,Assault Offenses
04/04/2022 13:21:58,2467803.25,956854.31,Assault Offenses
04/04/2022 12:10:59,2469718.25,952984.94,Assault Offenses
04/04/2022 11:12:59,2457002.75,934507.38,Vandalism
04/04/2022 08:53:58,2469161.5,957896,Assault Offenses
04/04/2022 04:27:00,2443842.5,928571,Larceny
04/04/2022 01:43:58,2467034,957483.31,Assault Offenses
04/04/2022 00:00:59,2457741,936754.44,Larceny
04/03/2022 23:21:58,2457789.5,956170.13,Assault Offenses
04/03/2022 20:02:59,2459755,952327.19,Vandalism
04/03/2022 17:00:00,2461406.75,943606.31,Drugs-Narcotics
04/02/2022 20:00:00,2451822,951765.63,Vandalism
04/02/2022 18:05:58,2473711.75,933894.06,Assault Offenses
04/02/2022 18:00:59,2459754.75,947400.19,Burglary
04/02/2022 13:40:59,2465814.5,947648.13,Vandalism
04/02/2022 12:00:59,2467274.25,964635.44,Larceny
04/02/2022 05:00:00,2459634.25,963149.56,Vandalism
04/02/2022 02:29:59,2461821.5,958391.13,Vandalism
04/01/2022 21:26:58,2451592.5,942007.19,Assault Offenses
04/01/2022 19:00:58,2460542,956978.88,Counterfeiting-Forgery
04/01/2022 18:30:00,2455549.75,952965.94,Assault Offenses
04/01/2022 17:29:59,2451192.5,936436,Assault Offenses
04/01/2022 12:10:00,2447993.75,953337.31,Larceny
04/01/2022 08:00:00,2459754.75,947400.19,Burglary
04/01/2022 07:30:00,2468277,947577.69,Larceny
04/01/2022 07:08:59,2467330.75,957412.44,Vandalism
04/01/2022 02:45:00,2463383,958090.31,Vandalism
04/01/2022 01:54:05,2453233.5,933765.5,Assault Offenses
04/01/2022 00:00:00,2463401.5,958982.44,Counterfeiting-Forgery
03/31/2022 21:30:00,2448949.5,951929.63,Larceny
03/31/2022 20:00:00,2462897.5,949061.75,Larceny
03/31/2022 18:59:59,2465993,951859.88,Vandalism
03/31/2022 17:00:00,2452587.25,947489.44,Larceny
03/31/2022 15:38:59,2454101,941238,Assault Offenses
03/31/2022 14:49:59,2466910.75,955095.88,Larceny
03/31/2022 11:41:58,2465944,960876.25,Assault Offenses
03/31/2022 11:22:59,2467210.75,959242.31,Drugs-Narcotics
03/31/2022 05:00:00,2461883.75,940691.38,Vandalism
03/31/2022 00:00:59,2467019.25,948029.19,Vandalism
03/30/2022 22:40:00,2426634.75,950519.81,Assault Offenses
